id,title,year,genres,tmdb_rating,imdb_rating,tmdb_votes,imdb_votes,rt_tomatometer,rt_tomatometer_out_of_10,sentiment_imdb_avg,sentiment_rt_top_critics_avg,sentiment_rt_all_critics_avg,sentiment_rt_verified_audience_avg,sentiment_rt_all_audience_avg
1,Zootopia,2016,Animation|Adventure|Family|Comedy,7.755,8.0,17200,604397.0,98.0,9.8,0.816788,,,,
2,Your Name.,2016,Animation|Romance|Drama,8.48,8.4,12136,377296.0,98.0,9.8,0.797133,,,,
3,Now You See Me 2,2016,Thriller|Crime,6.827,6.4,11211,352325.0,34.0,3.4,0.560476,,,,
4,Captain America: Civil War,2016,Adventure|Action|Science Fiction,7.448,7.8,23541,910805.0,90.0,9.0,0.668683,,,,
5,Me Before You,2016,Drama|Romance,7.926,7.4,12901,322865.0,55.0,5.5,0.661296,,,,
6,Boyka: Undisputed IV,2016,Action|Drama|Thriller,7.2,6.9,1410,,,,0.320896,,,,
7,Train to Busan,2016,Horror|Thriller|Action|Adventure,7.748,7.6,8056,297493.0,95.0,9.5,0.333304,,,,
8,Hacksaw Ridge,2016,Drama|History|War,8.192,8.1,14440,661940.0,84.0,8.4,0.499304,,,,
9,Deadpool,2016,Action|Adventure|Comedy,7.622,8.0,32107,1233358.0,85.0,8.5,0.790217,,,,
10,Batman v Superman: Dawn of Justice,2016,Action|Adventure|Fantasy,6.0,6.4,18611,784203.0,28.0,2.8,0.622179,,,,
11,La La Land,2016,Comedy|Drama|Romance,7.9,8.0,17654,742489.0,91.0,9.1,0.646554,,,,
12,The Handmaiden,2016,Thriller|Drama|Romance,8.195,8.1,4103,196437.0,96.0,9.6,0.584962,,,,
13,Arrival,2016,Drama|Science Fiction|Mystery,7.623,7.9,18762,843140.0,94.0,9.4,0.569956,,,,
14,A Silent Voice: The Movie,2016,Animation|Drama|Romance,8.386,8.2,4277,132321.0,,,0.355617,,,,
15,Gods of Egypt,2016,Action|Adventure|Fantasy,5.69,5.4,4238,134061.0,15.0,1.5,0.417696,,,,
16,Trolls,2016,Family|Animation|Fantasy|Adventure|Comedy|Music,6.632,6.4,3729,98871.0,76.0,7.6,0.733192,,,,
17,The Conjuring 2,2016,Horror,7.294,7.3,8949,335648.0,80.0,8.0,0.401416,,,,
