tmdb_id,title,original_title,release_date,year,original_language,genres,budget,revenue_worldwide,runtime,popularity,vote_average,vote_count,production_companies,production_countries,director,top_3_cast,overview,adult
269149,Zootopia,Zootopia,2016-02-11,2016,en,"Animation, Adventure, Family, Comedy",150000000,1025521689,109,122.0547,7.755,17200,Walt Disney Animation Studios,United States of America,Byron Howard,"Ginnifer Goodwin, Jason Bateman, Idris Elba","Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",False
372058,Your Name.,君の名は。,2016-08-26,2016,ja,"Animation, Romance, Drama",0,358000000,106,26.7148,8.48,12136,"CoMix Wave Films, TOHO, KADOKAWA, jeki, AMUSE, voque ting, Lawson Entertainment",Japan,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",False
291805,Now You See Me 2,Now You See Me 2,2016-06-02,2016,en,"Thriller, Crime",120000000,334897606,129,14.5408,6.827,11211,"Summit Entertainment, K/O Paper Products, TIK Films, Lionsgate","Hong Kong, United States of America",Jon M. Chu,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson","One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",False
271110,Captain America: Civil War,Captain America: Civil War,2016-04-27,2016,en,"Adventure, Action, Science Fiction",250000000,1155046416,147,12.232,7.448,23541,Marvel Studios,United States of America,Joe Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",False
296096,Me Before You,Me Before You,2016-06-01,2016,en,"Drama, Romance",20000000,207945075,110,13.7781,7.926,12901,"New Line Cinema, Sunswept Entertainment, Metro-Goldwyn-Mayer",United States of America,Thea Sharrock,"Emilia Clarke, Sam Claflin, Janet McTeer","A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",False
348893,Boyka: Undisputed IV,Boyka: Undisputed IV,2016-08-01,2016,en,"Action, Drama, Thriller",0,413334,87,12.3234,7.2,1410,Nu Boyana Viburno,"Bulgaria, United States of America",Todor Chapkanov,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul","In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude.",False
396535,Train to Busan,부산행,2016-07-20,2016,ko,"Horror, Thriller, Action, Adventure",8500000,87547518,118,11.4886,7.748,8056,"Next Entertainment World, RedPeter Films, Contents Panda, Union Investment Partners, KTB Network",South Korea,Yeon Sang-ho,"Gong Yoo, Kim Su-an, Jung Yu-mi","When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",False
324786,Hacksaw Ridge,Hacksaw Ridge,2016-10-07,2016,en,"Drama, History, War",40000000,175302354,139,11.1519,8.192,14440,"Summit Entertainment, Pandemonium, Cross Creek Pictures, Permut Presentations, Vendian Entertainment, Argent Pictures, IM Global, AI Film, Bliss Media, Kylin Pictures, Cosmos Filmed Entertainment, Icon Productions, Lionsgate","Australia, United Kingdom, United States of America, China",Mel Gibson,"Andrew Garfield, Sam Worthington, Vince Vaughn","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",False
293660,Deadpool,Deadpool,2016-02-09,2016,en,"Action, Adventure, Comedy",58000000,782837347,108,10.7299,7.622,32107,"20th Century Fox, The Donners' Company, Genre Films, Marvel Entertainment",United States of America,Tim Miller,"Ryan Reynolds, Morena Baccarin, Ed Skrein","The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",False
209112,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016-03-23,2016,en,"Action, Adventure, Fantasy",250000000,874362803,152,10.2676,6.0,18611,"Warner Bros. Pictures, RatPac Entertainment, Atlas Entertainment, DC Entertainment, Cruel & Unusual Films",United States of America,Zack Snyder,"Ben Affleck, Henry Cavill, Jesse Eisenberg","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",False
313369,La La Land,La La Land,2016-12-01,2016,en,"Comedy, Drama, Romance",30000000,509183536,129,10.1477,7.9,17654,"Summit Entertainment, Gilbert Films, Impostor Pictures, Marc Platt Productions",United States of America,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend","Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",False
290098,The Handmaiden,아가씨,2016-06-01,2016,ko,"Thriller, Drama, Romance",8575000,38600000,145,9.4041,8.195,4103,"Moho Film, Yong Film, CJ Entertainment",South Korea,Park Chan-wook,"Kim Min-hee, Kim Tae-ri, Ha Jung-woo","1930s Korea, in the period of Japanese occupation, a new girl, Sookee, is hired as a handmaiden to a Japanese heiress, Hideko, who lives a secluded life on a large countryside estate with her domineering Uncle Kouzuki. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to steal her fortune.",False
329865,Arrival,Arrival,2016-11-10,2016,en,"Drama, Science Fiction, Mystery",47000000,203388186,116,9.3881,7.623,18762,"FilmNation Entertainment, Lava Bear Films, 21 Laps Entertainment",United States of America,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker","Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",False
